ISO_Code,Resource_Class
mcg,0
jmd,0
rkb,0
bel,0
ren,0
kfa,0
acv,0
tsm,0
urk,0
pot,0
lok,0
gmr,0
mnb,0
its,0
ndo,0
omc,0
nrl,0
sip,0
nsk,0
bmr,0
bin,0
gym,0
chk,0
bif,0
mhy,0
khl,0
bua,0
zmu,0
xac,0
ndv,0
wax,0
gld,0
srl,0
khr,0
lbz,0
zap,0
mpe,0
wrg,0
msu,0
bzs,0
lis,0
chp,0
srb,0
lrg,0
xbi,0
evn,0
wnc,0
ann,0
guo,0
tca,0
nlg,0
xok,0
bcj,0
kgg,0
xkp,0
rma,0
wbj,0
kdh,0
bsp,0
vag,0
rtm,0
tub,0
mnf,0
psr,0
mdq,0
avt,0
ono,0
tft,0
dbl,0
hmo,0
sui,0
wau,0
yad,0
lzz,0
kmt,0
chs,0
kpy,0
xav,0
gdq,0
gay,0
nyt,0
cub,0
yah,0
mpt,0
cua,0
peg,0
tty,0
ewo,0
agx,0
knf,0
yam,0
wrp,0
yaa,0
wan,0
skv,0
sjw,0
chl,0
tcg,0
aqc,0
ojv,0
ciw,0
tpj,0
fap,0
pbb,0
udi,0
bpu,0
alr,0
cho,0
apt,0
apy,0
xra,0
bzr,0
bcs,0
poc,0
tzh,0
ekg,0
tll,0
juc,0
psw,0
nzs,0
ski,0
mot,0
bdm,0
adl,0
rmt,0
oru,0
ami,0
bfd,0
eya,0
snc,0
rab,0
ttr,0
ywr,0
cdn,0
tex,0
spo,0
tus,0
irk,0
pjt,0
tsg,0
rej,0
bhm,0
tdh,0
lob,0
bag,0
mrw,0
gfk,0
raw,0
zik,0
jua,0
rao,0
bor,0
vif,0
zku,0
mlp,0
ixl,0
rgr,0
sto,0
bdj,0
tmq,0
mnk,0
tqw,0
mge,0
bnc,0
ihp,0
ral,0
kcn,0
awa,0
kgp,0
bds,0
mor,0
fut,0
cht,0
dyu,0
xsm,0
not,0
mrh,0
gss,0
yap,0
xuu,0
wgi,0
tsu,0
cks,0
agq,0
otr,0
myw,0
isr,0
pio,0
amr,0
dma,0
xtz,0
mdi,0
laz,0
ckt,0
abb,0
lae,0
myp,0
kiz,0
smd,0
akc,0
mnc,0
yey,0
gmv,0
akw,0
tmh,0
cje,0
jqr,0
mdm,0
avu,0
kwn,0
gcc,0
hmr,0
vas,0
mog,0
mif,0
sey,0
mtk,0
oka,0
tli,0
kfk,0
kms,0
pui,0
bhb,0
bza,0
loj,0
her,0
ppo,0
lgu,0
vep,0
kmg,0
apu,0
pac,0
cul,0
dba,0
hal,0
mqj,0
tdn,0
kpc,0
mhi,0
nsz,0
arl,0
krk,0
gdo,0
kry,0
deg,0
trw,0
hat,0
fuj,0
hop,0
dhl,0
pon,0
wbp,0
set,0
tzn,0
kbc,0
seh,0
ncu,0
gyd,0
ksf,0
etu,0
wit,0
okv,0
cbg,0
kvo,0
khe,0
avn,0
drd,0
mnz,0
tvu,0
kgk,0
kto,0
wal,0
duj,0
mej,0
opm,0
kkh,0
tnt,0
brn,0
cid,0
yup,0
tuv,0
bjh,0
ppk,0
rut,0
ggd,0
huz,0
xaw,0
xyy,0
mcb,0
css,0
kyj,0
kog,0
hla,0
tio,0
tkr,0
bxj,0
tuo,0
ils,0
gbd,0
oym,0
tmc,0
mte,0
lif,0
mcr,0
ntu,0
jei,0
pim,0
blw,0
nse,0
mzp,0
thp,0
wao,0
lkr,0
kwe,0
hke,0
com,0
crd,0
ddo,0
ndi,0
ngi,0
jun,0
kiy,0
des,0
aro,0
gjm,0
dlg,0
mym,0
skh,0
dua,0
lww,0
mbw,0
aaa,0
isd,0
ikx,0
ker,0
koy,0
csg,0
bvq,0
puo,0
alq,0
hni,0
col,0
suk,0
ure,0
pdo,0
ctu,0
umu,0
dji,0
niz,0
wgb,0
tbc,0
bae,0
mgd,0
tdt,0
dta,0
tue,0
kpv,0
cac,0
sza,0
gio,0
bni,0
ghs,0
nnk,0
etr,0
mei,0
nez,0
tun,0
kpj,0
mhd,0
bvr,0
bef,0
amc,0
efi,0
alp,0
mep,0
kut,0
rji,0
lhu,0
yum,0
shs,0
sva,0
yan,0
lil,0
twa,0
coe,0
mlv,0
frd,0
yee,0
hts,0
jup,0
ugn,0
gaj,0
mle,0
ptp,0
sln,0
buf,0
tae,0
avi,0
kje,0
myh,0
vmb,0
esq,0
gnn,0
tea,0
klq,0
gbu,0
kgo,0
csl,0
xer,0
gni,0
aie,0
tgg,0
byr,0
tif,0
yky,0
kun,0
ahk,0
run,0
hai,0
clm,0
kap,0
drl,0
kpw,0
kos,0
xsi,0
dbq,0
kum,0
swv,0
mua,0
dis,0
pau,0
alc,0
emb,0
doo,0
toj,0
abk,0
beq,0
num,0
kic,0
buu,0
amo,0
scl,0
zun,0
kcv,0
wrb,0
sri,0
sad,0
ygr,0
tnk,0
brb,0
imn,0
ian,0
sop,0
usa,0
bax,0
tsq,0
tiv,0
cav,0
cic,0
ybi,0
lic,0
mkf,0
kua,0
vma,0
chm,0
urb,0
gdm,0
apr,0
pip,0
hnh,0
xns,0
awn,0
wbl,0
afz,0
kjf,0
fia,0
mag,0
kha,0
sdq,0
skf,0
xed,0
sel,0
bji,0
nxn,0
mpj,0
isg,0
kdm,0
tbd,0
ksb,0
byn,0
tvo,0
vaf,0
dgo,0
bnq,0
agr,0
dgz,0
xcw,0
sdp,0
bim,0
ogu,0
qui,0
ump,0
zga,0
enq,0
crc,0
rwo,0
kaq,0
mzn,0
eno,0
heh,0
gvs,0
kuu,0
ncz,0
wrs,0
squ,0
nal,0
alu,0
tbu,0
nnb,0
lbf,0
sll,0
niq,0
nrb,0
nrk,0
nyj,0
jek,0
tlb,0
puq,0
ani,0
bkl,0
guh,0
nio,0
sob,0
abq,0
wrk,0
led,0
gnr,0
mol,0
cku,0
cui,0
bzd,0
duc,0
jnj,0
sed,0
laf,0
auc,0
dhu,0
atq,0
wrr,0
aau,0
nko,0
gpn,0
auw,0
tpy,0
fmp,0
kzi,0
gow,0
mke,0
wer,0
kio,0
pwg,0
ign,0
kwo,0
bhp,0
tta,0
cdm,0
ctm,0
bbb,0
tjm,0
pmt,0
wyb,0
apn,0
see,0
mtg,0
kct,0
bxk,0
pid,0
mop,0
tkm,0
ikk,0
jda,0
bya,0
zmq,0
glj,0
pwi,0
adn,0
fvr,0
mfy,0
law,0
sba,0
slp,0
kmn,0
kmh,0
yrb,0
iwm,0
faa,0
sbf,0
lag,0
mqy,0
cuy,0
mek,0
tgc,0
bvz,0
oku,0
kvv,0
igb,0
teh,0
tqo,0
bft,0
nrm,0
zag,0
bnh,0
bwr,0
guz,0
cji,0
bli,0
cob,0
mra,0
viv,0
pbh,0
abt,0
sht,0
gue,0
guf,0
xwk,0
jet,0
nir,0
bgq,0
mnw,0
mhx,0
rop,0
pgu,0
mxk,0
pit,0
nia,0
sgz,0
was,0
coc,0
ude,0
amk,0
bcw,0
izz,0
swi,0
jic,0
hil,0
ixc,0
nyv,0
kde,0
ane,0
tby,0
mhv,0
cad,0
bwx,0
brg,0
has,0
mik,0
teq,0
bgz,0
tcx,0
dhi,0
cof,0
anh,0
mqs,0
kyz,0
bfi,0
pia,0
wic,0
lol,0
sis,0
ard,0
ong,0
mbq,0
bqy,0
kyq,0
diz,0
kck,0
cop,0
urh,0
ssp,0
cap,0
ntj,0
bll,0
ksx,0
jeh,0
lus,0
aar,0
aey,0
unm,0
cbd,0
eud,0
ktf,0
way,0
ggw,0
ibd,0
roo,0
rad,0
saj,0
uli,0
aoc,0
lbu,0
umb,0
bdq,0
aca,0
chx,0
boa,0
krl,0
kxa,0
wed,0
ken,0
ayz,0
bjr,0
sua,0
mkj,0
tpm,0
for,0
iai,0
ssf,0
ayo,0
skb,0
ing,0
lun,0
nux,0
ese,0
bbd,0
ury,0
hay,0
trv,0
ney,0
sbe,0
mva,0
pei,0
nen,0
mpc,0
djr,0
kny,0
bao,0
atw,0
bue,0
ycn,0
gkd,0
oro,0
kue,0
nuf,0
kmo,0
gin,0
lef,0
xte,0
gvf,0
cao,0
teo,0
nzk,0
clk,0
ktg,0
lbt,0
niu,0
srm,0
kth,0
hoa,0
vgt,0
mdw,0
ank,0
mur,0
xon,0
thf,0
bgg,0
rug,0
moe,0
buw,0
pav,0
arp,0
ssd,0
dhr,0
nus,0
bde,0
wrm,0
jao,0
slu,0
los,0
wiy,0
awg,0
yuc,0
vot,0
lhm,0
amp,0
kwa,0
mrz,0
ndz,0
rng,0
amn,0
osa,0
tld,0
tnm,0
til,0
kxo,0
kma,0
nyh,0
goa,0
zrs,0
tbl,0
muh,0
wth,0
hss,0
nag,0
tvk,0
tay,0
har,0
ito,0
ibb,0
pqa,0
gta,0
oca,0
kgq,0
yva,0
loz,0
ynn,0
ibg,0
bjb,0
bng,0
kii,0
nxg,0
neg,0
kgr,0
tds,0
kpk,0
wwr,0
nce,0
nnt,0
nak,0
gob,0
svs,0
kot,0
mbc,0
hoc,0
prs,0
mjk,0
naf,0
mls,0
klu,0
ssy,0
tav,0
wms,0
bej,0
liv,0
akr,0
lld,0
wlo,0
ura,0
moh,0
kkk,0
nly,0
kij,0
pbr,0
mhq,0
tya,0
wnu,0
nnm,0
zne,0
iso,0
sab,0
ule,0
meu,0
zmt,0
mgf,0
wos,0
hub,0
yuj,0
maw,0
sub,0
hur,0
kre,0
bdk,0
mzm,0
dal,0
nge,0
woe,0
lns,0
sqt,0
hoo,0
mrc,0
sgh,0
khw,0
gol,0
nhb,0
yur,0
kge,0
xgm,0
tep,0
tzo,0
had,0
mug,0
aoj,0
adj,0
xam,0
kff,0
tik,0
agd,0
moc,0
snv,0
unr,0
snk,0
typ,0
nds,0
lgg,0
spl,0
xmu,0
smr,0
sly,0
kur,0
szw,0
cay,0
kki,0
nmd,0
kps,0
gum,0
lvk,0
myu,0
shj,0
tmd,0
rap,0
lwo,0
tiw,0
mcf,0
trr,0
irh,0
aom,0
tob,0
kru,0
hid,0
geb,0
bhg,0
kwd,0
apb,0
mbj,0
jeb,0
ket,0
gkn,0
cdo,0
mcd,0
wwa,0
bco,0
nym,0
shk,0
cla,0
dim,0
div,0
awi,0
mtq,0
plh,0
afn,0
bot,0
hbs,0
bfq,0
hre,0
dur,0
bkq,0
mps,0
abi,0
xyj,0
klb,0
did,0
pie,0
gia,0
bol,0
bqp,0
sei,0
tin,0
mnx,0
blc,0
ptu,0
klr,0
kup,0
plg,0
akl,0
chc,0
ilb,0
tnl,0
shv,0
ige,0
tmu,0
rel,0
bzi,0
ldd,0
sus,0
kbp,0
tfr,0
now,0
mdd,0
cbc,0
kxv,0
kpg,0
alh,0
nto,0
lep,0
tsj,0
mwv,0
srq,0
bkk,0
hyw,0
uby,0
les,0
lue,0
paw,0
nqo,0
tiy,0
bio,0
hch,0
lbc,0
slt,0
szg,0
xub,0
fun,0
hia,0
soh,0
coo,0
mww,0
ntm,0
akz,0
idu,0
mvn,0
gbi,0
zen,0
imi,0
asf,0
snp,0
mad,0
kcr,0
iqu,0
spu,0
nxq,0
one,0
ths,0
lmc,0
can,0
cjv,0
bfu,0
kqz,0
grt,0
bia,0
tti,0
yer,0
wgy,0
gde,0
kjh,0
ons,0
ban,0
oaa,0
tbo,0
ylr,0
uri,0
ppt,0
gvn,0
wap,0
tan,0
tbw,0
cup,0
ogb,0
dru,0
wbt,0
cal,0
aqp,0
hlb,0
kva,0
mam,0
slc,0
sue,0
icl,0
mjy,0
wti,0
tsv,0
dag,0
wog,0
bql,0
rou,0
mah,0
nsn,0
mbl,0
huq,0
ksi,0
pwn,0
cbs,0
sin,0
kqy,0
ald,0
yka,0
tna,0
tyn,0
omg,0
mwp,0
arn,0
bfa,0
hus,0
wsa,0
llu,0
dmw,0
mhk,0
kei,0
dak,0
ega,0
yns,0
bsk,0
yug,0
bdw,0
myb,0
pcm,0
jct,0
kyc,0
khb,0
mso,0
kky,0
kfq,0
cjp,0
kjj,0
niy,0
cro,0
tms,0
gvr,0
guq,0
mus,0
urf,0
yss,0
kdx,0
nmm,0
gsg,0
xbr,0
muz,0
brh,0
tgo,0
gqa,0
van,0
mrf,0
xya,0
tro,0
sxn,0
arv,0
hnj,0
pos,0
yll,0
tss,0
nha,0
nkr,0
ngk,0
wba,0
dow,0
aul,0
gid,0
kbl,0
tao,0
yij,0
sbs,0
mfc,0
ktw,0
xwa,0
pay,0
zkk,0
tui,0
mdr,0
cko,0
nid,0
pkn,0
shn,0
ser,0
pmf,0
myy,0
oac,0
brm,0
ktn,0
ads,0
pss,0
gyy,0
adz,0
god,0
sea,0
kjn,0
hmt,0
mcs,0
wsk,0
ale,0
kbh,0
ged,0
con,0
mcp,0
xak,0
ari,0
mdj,0
kju,0
wgu,0
mqf,0
doh,0
aiw,0
blb,0
abz,0
zmc,0
dus,0
pox,0
crw,0
gyb,0
tuh,0
ahh,0
aoi,0
ppl,0
tlf,0
lam,0
aoa,0
kdr,0
wme,0
bhw,0
npy,0
bmi,0
blz,0
jaq,0
dry,0
ran,0
mrn,0
slr,0
iba,0
fse,0
vai,0
tcb,0
aia,0
tpi,1
tel,1
som,1
gla,1
ibo,1
bam,1
asm,1
sqi,1
ven,1
cym,1
haw,1
atj,1
csb,1
epo,1
sat,1
min,1
smo,1
lez,1
pcd,1
glk,1
lbe,1
bre,1
crh,1
tso,1
pnt,1
cre,1
nav,1
pli,1
kbd,1
twi,1
bod,1
hif,1
sag,1
kom,1
snd,1
lad,1
kik,1
glv,1
bak,1
krc,1
sgs,1
vol,1
myv,1
oci,1
lzh,1
gor,1
ext,1
bis,1
bpy,1
mdf,1
bjn,1
tah,1
mya,1
tum,1
pag,1
bug,1
rom,1
ssw,1
ful,1
lmo,1
tet,1
xmf,1
mwl,1
chv,1
gag,1
tat,1
sah,1
sun,1
kir,1
jbo,1
tuk,1
ido,1
tgk,1
kas,1
ory,1
rue,1
cha,1
lfn,1
chy,1
mon,1
kan,1
fij,1
ewe,1
ava,1
vec,1
inh,1
kin,1
fao,1
roh,1
rup,1
szl,1
pdc,1
tcy,1
lrc,1
che,1
lij,1
dsb,1
mai,1
mri,1
ace,1
cos,1
dzo,1
cor,1
jav,1
nov,1
kab,1
bar,1
sco,1
guj,1
cbk,1
mkd,1
scn,1
aka,1
wln,1
npi,1
fur,1
din,1
arg,1
sna,1
koi,1
hsb,1
chr,1
bho,1
got,1
udm,1
mal,1
hau,2
mar,2
xho,2
swh,2
san,2
zul,2
tsn,2
isl,2
wol,2
mlt,2
tir,2
lao,2
amh,2
yor,2
gle,3
ukr,3
ceb,3
arz,3
lav,3
afr,3
glg,3
tha,3
kat,3
dan,3
tgl,3
slv,3
tam,3
kaz,3
ron,3
bul,3
uzb,3
lit,3
ekk,3
slk,3
ben,3
urd,3
lat,3
swe,4
tur,4
kor,4
hin,4
por,4
ces,4
rus,4
nld,4
pol,4
ita,4
vie,4
eus,4
hun,4
fin,4
cat,4
eng,5
spa,5
deu,5
jpn,5
fra,5
cmn,5
